Institution ID,Inst CRM ID,Dept Name,Department ID
College of Mount Saint Vincent,3FB42883-1E56-E911-8106-000C29A8E632,Teacher Education,8450
College of Mount Saint Vincent,3FB42883-1E56-E911-8106-000C29A8E632,Registered Course,9868
College of Staten Island,,Registered Course,9869
College of Staten Island,,,11920
Columbia University Teachers College,C08BF753-6200-E411-BEB5-00505683000D,Special Education,8574
Columbia University Teachers College,C08BF753-6200-E411-BEB5-00505683000D,Registered Course,9870
Consorzio Universitario Humanitas,F85A843D-1F56-E911-8106-000C29A8E632,Human Sciences Department,8271
Consorzio Universitario Humanitas,F85A843D-1F56-E911-8106-000C29A8E632,Registered Course,9871
Daegu Cyber University,FCCD36FE-A599-E911-810E-000C29A8E632,Department of Behavior Therapy,8418
Daegu Cyber University,FCCD36FE-A599-E911-810E-000C29A8E632,Registered Course,9872
Daemen College,CC279C66-2D56-E911-8106-000C29A8E632,Education,8537
Daemen College,CC279C66-2D56-E911-8106-000C29A8E632,Registered Course,9873
Daemen College,CC279C66-2D56-E911-8106-000C29A8E632,Behavior Analysis,10209
Dar Al Hekma University,1325DA8F-3356-E911-8106-000C29A8E632,Special Education,8269
Dar Al Hekma University,1325DA8F-3356-E911-8106-000C29A8E632,Registered Course,9874
Dar Al Hekma University,1325DA8F-3356-E911-8106-000C29A8E632,Behavior Analysis,10310
David Yellin Academic College of Education,4B5DB809-3156-E911-8106-000C29A8E632,Education,8610
David Yellin Academic College of Education,4B5DB809-3156-E911-8106-000C29A8E632,Registered Course,9875
David Yellin Academic College of Education,4B5DB809-3156-E911-8106-000C29A8E632,School of Continuing Education,10307
Deree College The American College of Greece,D5FF7ABB-3156-E911-8106-000C29A8E632,Psychology,8276
Deree College The American College of Greece,D5FF7ABB-3156-E911-8106-000C29A8E632,Registered Course,9876
Douglas College,95212377-3456-E911-8106-000C29A8E632,Classroom and Community Support,8630
Douglas College,95212377-3456-E911-8106-000C29A8E632,Disability and Community Studies,8498
Douglas College,95212377-3456-E911-8106-000C29A8E632,Registered Course,9877
Drake University,6B8CF753-6200-E411-BEB5-00505683000D,Applied Behavior Analysis,8235
Drake University,6B8CF753-6200-E411-BEB5-00505683000D,Registered Course,9878
Drake University,6B8CF753-6200-E411-BEB5-00505683000D,Psychology,10708
Drexel University,B916079B-D7AB-E411-B490-0050569C00A7,Special Education,8401
Drexel University,B916079B-D7AB-E411-B490-0050569C00A7,Registered Course,9879
Duquesne University,E9EF900E-3756-E911-8106-000C29A8E632,"Department of Counseling, Psychology & Special Education",8326
Duquesne University,E9EF900E-3756-E911-8106-000C29A8E632,Registered Course,9880
East Carolina University,,Registered Course,9881
East Carolina University,,,11921
East Stroudsburg University,797C643F-3A56-E911-8106-000C29A8E632,Special Education,8472
East Stroudsburg University,797C643F-3A56-E911-8106-000C29A8E632,Registered Course,9882
Eastern Connecticut State University,2FF777E2-3B56-E911-8106-000C29A8E632,Psychology,8336
Eastern Connecticut State University,2FF777E2-3B56-E911-8106-000C29A8E632,Registered Course,9883
