id,rc_reg_crse_insttn,rc_regcrs_deparmnt_crm,rc_crse_title,rc_crse_numbr,rc_crse_cdt_lvl,rc_crse_cdt_hrs,rc_cnthrs_editn,rc_cnthrs_strt_dat,rc_cnthrs_end_dat,rc_cnthrs_strt_yr,rc_cnthrs_end_yr,rc_cnthrs_strt_sem,rc_cnthrs_end_sem,rc_cnthrs_strt_qurtr,rc_cntnthrs_end_qtr,data_discrpncy_final_dta,rc_final_data_course_name,rc_rgsd_numbr,rc_rgs_typ_fnl,third_edition_cr_number,alterations,rc_cntnt_alloc_a1,rc_cnt_alloc_b1,rc_cntn_alloc_type_c1,rc_cnt_alloc_c2,rc_cntn_alloc_type_d1,rc_cntn_alloc_type_d2,rc_cntn_alloc_type_d3,rc_cntn_alloc_type_d4,rc_cntn_alloc_type_d5v,rc_cntn_alloc_type_e1,rc_cntn_alloc_type_5av,rc_cntn_alloc_type_5d,rc_cntn_alloc_type_5g,rc_cntn_alloc_type_5h,rc_cntn_alloc_type_5e,rc_cntn_alloc_type_5b,rc_cntn_alloc_type_5c,rc_cntn_alloc_type_5f
6710f2fa-1ed4-484d-baf7-9764c522387b Fifth Edition,University of Michigan - Dearborn,Education,Research Methods in Applied Behavior Analysis,EDC 402,Undergraduate,3,Fifth Edition,,,2018,,Fall,,,,,4452 BCaBA,4452, BCaBA,,,,,,,,,,,,,,,,,45,,,
1cef677d-41e2-4d2e-8da2-842b539dccd6 Fifth Edition,Eastern Connecticut State University,Psychology,Radical Behaviorism,PSY 407,Undergraduate,3,Fifth Edition,,,2018,,Fall,,,,,4092 BCaBA,4092, BCaBA,,,,,,,,,,,,,,,,45,,,,
0fbfc282-e400-400a-8e68-e675cfe9b535 Fifth Edition,Florida International University,,Methods of Behavior Analysis,EEX 5612,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4516 BCBA,4516, BCBA,,,,,,,,,,,,,,,,,,45,,
4b45cb7a-ae71-458b-98da-01208e92624d Fifth Edition,Mary Baldwin University,Education/Psychology,"Data Collection, Use, & Research Design",ABA 519,Undergraduate,2,Fifth Edition,,,2019,,Fall,,,,,4006 BCaBA,4006, BCaBA,,,,,,,,,,,,,,,,,30,,,
7833065a-0005-43d7-9505-b158b2924ab8 Fifth Edition,Western New England University,Psychology,Ethics and Professional Issues,PSY 509,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4012 BCBA,4012, BCBA,,,,,,,,,,,,,45,,,,,,,
ac6efcf1-2f48-4b0c-842b-5c1cf90ed8bb Fifth Edition,Florida International University,,Ethics in ABA,EEX 6747,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4516 BCBA,4516, BCBA,,,,,,,,,,,,,45,,,,,,,
75e66bbf-4167-44a0-840e-3032fabd3786 Fifth Edition,Florida International University,,Theory and History of Behavior Analysis in Education,EEX 6680,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4516 BCBA,4516, BCBA,,,,,,,,,,,,,,45,,,,,,
4e8ad4b5-16e7-4915-bef2-61d15a8e2e2e Fifth Edition,"Malta College of Arts, Science, & Technology",Malta Gateway to Industry in Collaboration with MCAST University College,Behaviour Change Procedures,GCS-4,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4510 BCBA,4510, BCBA,,,,,,,,,,,,,,,,,,,30,
4630fa66-9f66-46e0-9714-89778b448e52 Fifth Edition,Emirates College for Advanced Education,"Counseling, Special Education and Neuroscience",Ethics and Professionalism,EDUABA 6,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4508 BCBA,4508, BCBA,,,,,,,,,,,,,45,,,,,,,
15728efa-efa4-4102-804b-4c8f01fef661 Fifth Edition,Kutztown University of Pennsylvania,Special Education,Behavior Change Procedures,SPU 604,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4443 BCBA,4443, BCBA,,,,,,,,,,,,,,,,,,,45,
30faa372-bf84-4027-81ed-31ef3305d604 Fifth Edition,Mcneese state university,Psychology,ABA Interventions,PSYC 628,Graduate,3,Fifth Edition,,,2019,,Spring,,,,,4069 BCBA,4069, BCBA,,,,,,,,,,,,,,,,,,,45,
5d94fab7-deed-4ce7-b52f-3cdda40d3f98 Fifth Edition,Mcneese state university,Psychology,Single-Subject Methodology,PSYC 620,Graduate,3,Fifth Edition,,,2019,,Spring,,,,,4069 BCBA,4069, BCBA,,,,,,,,,,,,,,,,,45,,,
786b45e7-f3d0-480a-8cc6-c171a27fc1c4 Fifth Edition,CAPPDR-SEEK,Behavior Analysis,Behavior Intervention,SBEH 104,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4394 BCBA,4394, BCBA,,,,,,,,,,,,,,,,,,,45,
